Term	Genes	FDR	Category	Description
GO:0032502	FGF4,MAPK1,CCND1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,PROM1,HIF1A,AKT1,MYC	3.46e-23	Process	Developmental process
GO:0031324	NFKB1,CCND1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,WNT5A,STAT3,LEF1,IGF1R,TP53,NOTCH1,PPARG,WNT1,SHH,WNT10B,CASP3,HNF4A,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC	4.14e-23	Process	Negative regulation of cellular metabolic process
GO:0030334	FGF4,MAPK1,GLI1,SNAI1,BMP4,SOX9,JAG1,CDH1,MAPK3,WNT5A,STAT3,LEF1,IGF1R,NOTCH1,PPARG,SHH,SMAD3,NF1,MTOR,JUN,PTEN,SRC,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,PAX6,HIF1A,AKT1	7.25e-23	Process	Regulation of cell migration
GO:0030900	GLI1,BMP4,KRAS,CDH1,WNT5A,LEF1,CDH2,NOTCH1,WNT3A,WNT1,SHH,CASP3,FGF8,SOX2,GSK3B,CTNNB1,NF1,PTEN,SRC,DKK1,BMP2,FGFR1,RHOA,PAX6,HIF1A	9.72e-23	Process	Forebrain development
GO:0007167	FGF4,MAPK1,BMP4,SOX9,POU5F1,SMAD2,MAPK3,STAT3,LEF1,IGF1R,TP53,ERBB2,WNT1,FOS,CASP3,HNF4A,FGF8,GSK3B,SMAD3,SMAD4,ACTB,JUN,RUNX2,PTEN,SRC,TGFBR1,BMP2,FGFR1,RHOA,AKT1	1.27e-22	Process	Enzyme linked receptor protein signaling pathway
GO:0051247	FGF4,MAPK1,CCND1,BMP4,SOX9,KRAS,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,CASP3,FGF8,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,MTOR,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,CDKN2A,AKT1,MYC	1.32e-22	Process	Positive regulation of protein metabolic process
GO:0032879	FGF4,MAPK1,NFKB1,GLI1,GAPDH,TWIST1,SNAI1,BMP4,SOX9,JAG1,CDH1,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,SHH,HNF4A,GSK3B,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,CDKN2A,HIF1A,AKT1	2.3e-22	Process	Regulation of localization
GO:0007420	GLI1,BMP4,KRAS,CDH1,WNT5A,LEF1,CDH2,TP53,NOTCH1,WNT3A,WNT1,SHH,CASP3,FGF8,SOX2,GSK3B,CTNNB1,ACTB,NF1,MTOR,NES,PTEN,SRC,DKK1,BMP2,BCL2,FGFR1,RHOA,PAX6,HIF1A	3.22e-22	Process	Brain development
GO:0014070	MAPK1,NFKB1,CCND1,BMP4,KRAS,CDH1,SMAD2,MAPK3,STAT3,LEF1,NOTCH1,PPARG,WNT10B,FOS,CASP3,HNF4A,FGF8,GSK3B,WT1,CTNNB1,ACTB,MTOR,JUN,PTEN,SRC,KLF4,TGFBR1,BMP2,BCL2,RHOA,ESR1,AKT1	3.22e-22	Process	Response to organic cyclic compound
GO:0032270	FGF4,MAPK1,CCND1,BMP4,SOX9,KRAS,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,FGF8,SOX2,GSK3B,SMAD3,SMAD4,CTNNB1,MTOR,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,CDKN2A,AKT1,MYC	3.22e-22	Process	Positive regulation of cellular protein metabolic process
GO:0110110	TWIST1,BMP4,SOX9,JAG1,POU5F1,WNT5A,NOTCH1,WNT3A,FGF8,WT1,SMAD4,CTNNB1,DKK1,TGFBR1,BMP2,FGFR1,MYC	3.34e-22	Process	Positive regulation of animal organ morphogenesis
GO:0060562	TWIST1,BMP4,SOX9,KRAS,WNT5A,LEF1,NOTCH1,WNT3A,WNT1,SHH,CASP3,FGF8,WT1,SMAD3,SMAD4,CTNNB1,SRC,BMP2,BCL2,RHOA,ESR1,HIF1A,MYC	4.05e-22	Process	Epithelial tube morphogenesis
GO:0001655	GLI1,BMP4,SOX9,JAG1,SMAD2,WNT5A,NOTCH1,WNT1,SHH,FGF8,WT1,SMAD3,SMAD4,CTNNB1,NF1,PTEN,TGFBR1,BMP2,BCL2,FGFR1,ESR1,PROM1,MYC	6.98e-22	Process	Urogenital system development
GO:0008285	BMP4,SOX9,SMAD2,WNT5A,STAT3,TP53,ERBB2,NOTCH1,PPARG,SHH,WNT10B,CASP3,HNF4A,SOX2,WT1,SMAD3,SMAD4,CTNNB1,NF1,JUN,PTEN,KLF4,TGFBR1,BMP2,SNAI2,BCL2,PAX6,CDKN2A,MYC	9.02e-22	Process	Negative regulation of cell population proliferation
GO:0050679	CCND1,TWIST1,BMP4,SOX9,WNT5A,STAT3,ERBB2,NOTCH1,WNT3A,SHH,CTNNB1,NF1,MTOR,JUN,TGFBR1,BMP2,FGFR1,HIF1A,AKT1,MYC	1.26e-21	Process	Positive regulation of epithelial cell proliferation
GO:0043009	MAPK1,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,WNT5A,LEF1,TP53,NOTCH1,WNT3A,WNT1,SHH,CASP3,FGF8,SMAD3,SMAD4,CTNNB1,NF1,RUNX2,DKK1,TGFBR1,BMP2,FGFR1,PAX6,HIF1A,AKT1	1.84e-21	Process	Chordate embryonic development
GO:0045937	FGF4,MAPK1,CCND1,BMP4,SOX9,KRAS,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,FGF8,SOX2,SMAD3,SMAD4,CTNNB1,MTOR,JUN,PTEN,SRC,DKK1,TGFBR1,BMP2,CCK,BCL2,FGFR1,RHOA,HIF1A,AKT1	2.07e-21	Process	Positive regulation of phosphate metabolic process
GO:0048568	MAPK1,GLI1,TWIST1,SNAI1,BMP4,SOX9,SMAD2,MAPK3,WNT5A,LEF1,TP53,NOTCH1,WNT3A,WNT1,SHH,FGF8,SMAD3,CTNNB1,NES,RUNX2,TGFBR1,FGFR1,PAX6,HIF1A,AKT1	2.61e-21	Process	Embryonic organ development
GO:0051172	NFKB1,CCND1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,WNT5A,STAT3,LEF1,IGF1R,TP53,NOTCH1,PPARG,WNT1,SHH,WNT10B,CASP3,HNF4A,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,BMP2,SNAI2,FGFR1,PAX6,ESR1,CDKN2A,AKT1,MYC	2.66e-21	Process	Negative regulation of nitrogen compound metabolic process
GO:0009890	NFKB1,CCND1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,WNT5A,STAT3,LEF1,TP53,NOTCH1,PPARG,SHH,WNT10B,HNF4A,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,JUN,RUNX2,SRC,DKK1,KLF4,BMP2,SNAI2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,MYC	3.09e-21	Process	Negative regulation of biosynthetic process
GO:0042327	FGF4,MAPK1,CCND1,BMP4,SOX9,KRAS,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,FGF8,SOX2,SMAD4,CTNNB1,MTOR,JUN,PTEN,SRC,DKK1,TGFBR1,BMP2,CCK,BCL2,FGFR1,RHOA,HIF1A,AKT1	4.26e-21	Process	Positive regulation of phosphorylation
GO:0010558	NFKB1,CCND1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,WNT5A,STAT3,LEF1,TP53,NOTCH1,PPARG,SHH,WNT10B,HNF4A,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,JUN,RUNX2,SRC,DKK1,KLF4,BMP2,SNAI2,FGFR1,PAX6,ESR1,CDKN2A,MYC	5.68e-21	Process	Negative regulation of macromolecule biosynthetic process
GO:0051253	NFKB1,CCND1,NANOG,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,WNT5A,STAT3,LEF1,TP53,NOTCH1,PPARG,SHH,WNT10B,HNF4A,SOX2,WT1,SMAD3,SMAD4,CTNNB1,MTOR,JUN,RUNX2,SRC,DKK1,KLF4,BMP2,SNAI2,FGFR1,PAX6,ESR1,CDKN2A,MYC	6.01e-21	Process	Negative regulation of RNA metabolic process
GO:0001934	FGF4,MAPK1,CCND1,BMP4,SOX9,KRAS,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,FGF8,SOX2,SMAD4,CTNNB1,MTOR,JUN,PTEN,SRC,DKK1,TGFBR1,BMP2,CCK,BCL2,FGFR1,RHOA,AKT1	7.79e-21	Process	Positive regulation of protein phosphorylation
GO:0030182	MAPK1,BMP4,SOX9,JAG1,CDH1,MAPK3,WNT5A,STAT3,ERBB2,NOTCH1,WNT3A,WNT1,SHH,WNT10B,CASP3,FGF8,GSK3B,SMAD4,CTNNB1,ACTB,JUN,RUNX2,PTEN,SRC,TGFBR1,CCK,BCL2,FGFR1,RHOA,PAX6,PROM1,HIF1A	7.79e-21	Process	Neuron differentiation
GO:1903507	NFKB1,CCND1,NANOG,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,WNT5A,STAT3,LEF1,TP53,NOTCH1,PPARG,SHH,WNT10B,HNF4A,SOX2,WT1,SMAD3,SMAD4,CTNNB1,JUN,RUNX2,SRC,DKK1,KLF4,BMP2,SNAI2,FGFR1,PAX6,ESR1,CDKN2A,MYC	7.91e-21	Process	Negative regulation of nucleic acid-templated transcription
GO:0048608	MAPK1,CCND1,GLI1,SNAI1,BMP4,SOX9,MAPK3,WNT5A,LEF1,NOTCH1,PPARG,SHH,CASP3,FGF8,WT1,SMAD4,CTNNB1,PTEN,SRC,TGFBR1,BCL2,ESR1,HIF1A,AKT1	1.29e-20	Process	Reproductive structure development
GO:2000113	NFKB1,CCND1,GAPDH,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,WNT5A,STAT3,LEF1,TP53,NOTCH1,PPARG,SHH,WNT10B,HNF4A,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,JUN,RUNX2,SRC,DKK1,KLF4,BMP2,SNAI2,FGFR1,PAX6,ESR1,CDKN2A,MYC	1.72e-20	Process	Negative regulation of cellular macromolecule biosynthetic process
GO:0031401	FGF4,MAPK1,CCND1,BMP4,SOX9,KRAS,MAPK3,WNT5A,STAT3,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,WNT1,FGF8,SOX2,SMAD4,CTNNB1,MTOR,JUN,PTEN,SRC,DKK1,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,CDKN2A,AKT1	1.81e-20	Process	Positive regulation of protein modification process
GO:0051128	MAPK1,TWIST1,SNAI1,BMP4,SOX9,POU5F1,MAPK3,WNT5A,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,WNT10B,HNF4A,FGF8,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,MTOR,NES,PTEN,SRC,DKK1,KLF4,TGFBR1,CCK,SNAI2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,GFAP,MYC	1.85e-20	Process	Regulation of cellular component organization
GO:0031327	NFKB1,CCND1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,WNT5A,STAT3,LEF1,TP53,NOTCH1,PPARG,SHH,WNT10B,HNF4A,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,JUN,RUNX2,SRC,DKK1,KLF4,BMP2,SNAI2,FGFR1,PAX6,ESR1,CDKN2A,MYC	1.86e-20	Process	Negative regulation of cellular biosynthetic process
GO:0044093	MAPK1,NFKB1,CCND1,TWIST1,BMP4,KRAS,MAPK3,WNT5A,STAT3,IGF1R,ERBB2,WNT3A,PPARG,WNT1,SHH,WNT10B,CASP3,GSK3B,SMAD3,CTNNB1,NF1,MTOR,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,BCL2,FGFR1,RHOA,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC	1.86e-20	Process	Positive regulation of molecular function
GO:0008283	FGF4,MAPK1,CCND1,TWIST1,BMP4,SOX9,WNT5A,STAT3,LEF1,TP53,NOTCH1,WNT3A,WNT1,SHH,WNT10B,FGF8,SMAD4,CTNNB1,NES,SRC,BMP2,BCL2,FGFR1,ESR1,AKT1	2.15e-20	Process	Cell population proliferation
GO:0045892	NFKB1,CCND1,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,WNT5A,STAT3,LEF1,TP53,NOTCH1,PPARG,SHH,WNT10B,HNF4A,SOX2,WT1,SMAD3,SMAD4,CTNNB1,JUN,RUNX2,SRC,DKK1,KLF4,BMP2,SNAI2,FGFR1,PAX6,ESR1,CDKN2A,MYC	2.95e-20	Process	Negative regulation of transcription, DNA-templated
GO:0010942	GAPDH,BMP4,WNT5A,TP53,NOTCH1,WNT3A,PPARG,WNT10B,FOS,CASP3,GSK3B,WT1,SMAD3,CTNNB1,NF1,MTOR,JUN,PTEN,SRC,DKK1,TGFBR1,BMP2,CCK,BCL2,RHOA,CDKN2A,AKT1,MYC	3.24e-20	Process	Positive regulation of cell death
GO:0061138	BMP4,SOX9,KRAS,WNT5A,LEF1,NOTCH1,WNT1,SHH,FGF8,WT1,SMAD4,CTNNB1,SRC,BMP2,BCL2,FGFR1,ESR1,MYC	5.73e-20	Process	Morphogenesis of a branching epithelium
GO:0072073	BMP4,SOX9,JAG1,SMAD2,NOTCH1,WNT1,SHH,FGF8,WT1,SMAD3,SMAD4,CTNNB1,BMP2,BCL2,FGFR1,PROM1,MYC	9.23e-20	Process	Kidney epithelium development
GO:0048754	BMP4,SOX9,KRAS,WNT5A,LEF1,NOTCH1,WNT1,SHH,FGF8,WT1,SMAD4,CTNNB1,SRC,BMP2,BCL2,ESR1,MYC	1.03e-19	Process	Branching morphogenesis of an epithelial tube
GO:0009611	MAPK1,GLI1,POU5F1,SMAD2,MAPK3,WNT5A,ERBB2,WNT3A,WNT1,ANXA5,SHH,CASP3,HNF4A,SOX2,SMAD3,ACTB,NF1,MTOR,JUN,SRC,TGFBR1,BCL2,RHOA,PAX6,HIF1A	1.21e-19	Process	Response to wounding
GO:0050790	MAPK1,NFKB1,CCND1,GAPDH,BMP4,KRAS,MAPK3,WNT5A,STAT3,LEF1,IGF1R,TP53,ERBB2,NOTCH1,WNT3A,PPARG,ANXA5,CASP3,SOX2,GSK3B,SMAD3,CTNNB1,ACTB,NF1,MTOR,NES,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,MYC	1.5e-19	Process	Regulation of catalytic activity
GO:0010605	NFKB1,CCND1,GAPDH,NANOG,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,WNT5A,STAT3,LEF1,IGF1R,TP53,NOTCH1,PPARG,WNT1,SHH,WNT10B,CASP3,HNF4A,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,NF1,MTOR,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,BMP2,SNAI2,FGFR1,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC	1.77e-19	Process	Negative regulation of macromolecule metabolic process
GO:0033993	MAPK1,NFKB1,CCND1,BMP4,SOX9,KRAS,SMAD2,MAPK3,WNT5A,STAT3,LEF1,NOTCH1,WNT3A,PPARG,WNT10B,FOS,CASP3,HNF4A,CTNNB1,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BCL2,RHOA,ESR1,AKT1	1.96e-19	Process	Response to lipid
GO:2000826	TWIST1,BMP4,SOX9,JAG1,POU5F1,WNT5A,NOTCH1,WNT3A,SMAD4,CTNNB1,DKK1,TGFBR1,BMP2	3.57e-19	Process	Regulation of heart morphogenesis
GO:0051098	TWIST1,BMP4,SMAD2,MAPK3,WNT5A,LEF1,WNT3A,PPARG,GSK3B,SMAD3,SMAD4,CTNNB1,ACTB,NES,JUN,SRC,DKK1,KLF4,TGFBR1,BMP2,PAX6,AKT1	4.82e-19	Process	Regulation of binding
GO:0032501	FGF4,MAPK1,CCND1,GLI1,NANOG,TWIST1,SNAI1,BMP4,SOX9,JAG1,KRAS,POU5F1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,LEF1,IGF1R,CDH2,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,ANXA5,SHH,WNT10B,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,WT1,SMAD3,SMAD4,CTNNB1,ACTB,NF1,MTOR,NES,JUN,RUNX2,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,SNAI2,BCL2,FGFR1,RHOA,PAX6,ESR1,PROM1,HIF1A,AKT1,MYC	5.3e-19	Process	Multicellular organismal process
GO:0000122	NFKB1,CCND1,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,STAT3,LEF1,TP53,NOTCH1,PPARG,SHH,WNT10B,SOX2,WT1,SMAD3,SMAD4,CTNNB1,JUN,DKK1,KLF4,BMP2,SNAI2,FGFR1,PAX6,ESR1,MYC	5.92e-19	Process	Negative regulation of transcription by RNA polymerase II
GO:0072001	BMP4,SOX9,JAG1,SMAD2,WNT5A,NOTCH1,WNT1,SHH,FGF8,WT1,SMAD3,SMAD4,CTNNB1,NF1,TGFBR1,BMP2,BCL2,FGFR1,PROM1,MYC	1.07e-18	Process	Renal system development
GO:1902531	FGF4,MAPK1,TWIST1,SNAI1,BMP4,SOX9,KRAS,MAPK3,WNT5A,IGF1R,CDH2,TP53,ERBB2,NOTCH1,FGF8,SOX2,GSK3B,SMAD4,CTNNB1,NF1,MTOR,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,MYC	1.17e-18	Process	Regulation of intracellular signal transduction
GO:0010718	TWIST1,SNAI1,BMP4,JAG1,SMAD2,LEF1,NOTCH1,SMAD3,SMAD4,CTNNB1,MTOR,TGFBR1,BMP2	1.21e-18	Process	Positive regulation of epithelial to mesenchymal transition
GO:1901700	MAPK1,NFKB1,CCND1,SOX9,JAG1,CDH1,SMAD2,MAPK3,WNT5A,STAT3,IGF1R,TP53,NOTCH1,WNT3A,PPARG,WNT1,WNT10B,FOS,CASP3,HNF4A,GSK3B,WT1,CTNNB1,ACTB,MTOR,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BCL2,RHOA,ESR1,AKT1	1.44e-18	Process	Response to oxygen-containing compound
GO:0030855	GLI1,BMP4,SOX9,JAG1,WNT5A,CDH2,NOTCH1,PPARG,WNT1,CASP3,HNF4A,FGF8,WT1,SMAD3,SMAD4,CTNNB1,JUN,KLF4,BMP2,FGFR1,RHOA,PAX6,ESR1,PROM1,HIF1A,AKT1	1.6e-18	Process	Epithelial cell differentiation
GO:0040008	MAPK1,GLI1,BMP4,WNT5A,STAT3,LEF1,TP53,ERBB2,NOTCH1,WNT3A,PPARG,HNF4A,FGF8,GSK3B,WT1,SMAD3,SMAD4,MTOR,PTEN,TGFBR1,BCL2,FGFR1,RHOA,CDKN2A,HIF1A,AKT1	1.77e-18	Process	Regulation of growth
GO:0030278	MAPK1,GLI1,TWIST1,BMP4,SOX9,JAG1,MAPK3,WNT5A,NOTCH1,WNT10B,SMAD3,CTNNB1,RUNX2,DKK1,BMP2,SNAI2,BCL2,HIF1A	1.81e-18	Process	Regulation of ossification
GO:0072132	TWIST1,SNAI1,SOX9,SMAD2,WNT5A,LEF1,NOTCH1,WNT3A,FGF8,SMAD3,SMAD4,BMP2,SNAI2	1.88e-18	Process	Mesenchyme morphogenesis
GO:0001837	SNAI1,SOX9,WNT5A,LEF1,NOTCH1,FGF8,GSK3B,SMAD4,CTNNB1,TGFBR1,BMP2,SNAI2,FGFR1,HIF1A	1.93e-18	Process	Epithelial to mesenchymal transition
GO:1902893	BMP4,SOX9,POU5F1,STAT3,TP53,PPARG,FOS,WT1,SMAD3,JUN,KLF4,BMP2,HIF1A	3.64e-18	Process	Regulation of pri-miRNA transcription by RNA polymerase II
GO:0003007	TWIST1,SNAI1,BMP4,SOX9,JAG1,WNT5A,TP53,NOTCH1,WNT3A,SHH,FGF8,SMAD3,SMAD4,MTOR,JUN,TGFBR1,BMP2,SNAI2,HIF1A	3.8e-18	Process	Heart morphogenesis
GO:2000147	MAPK1,GLI1,TWIST1,SNAI1,BMP4,SOX9,MAPK3,WNT5A,STAT3,LEF1,IGF1R,NOTCH1,SMAD3,MTOR,JUN,SRC,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,HIF1A,AKT1	3.8e-18	Process	Positive regulation of cell motility
GO:0048562	MAPK1,GLI1,TWIST1,BMP4,SOX9,SMAD2,MAPK3,WNT5A,NOTCH1,WNT3A,WNT1,SHH,FGF8,SMAD3,CTNNB1,RUNX2,TGFBR1,FGFR1,PAX6,HIF1A	3.86e-18	Process	Embryonic organ morphogenesis
GO:0061061	TWIST1,BMP4,SOX9,JAG1,KRAS,WNT5A,CDH2,NOTCH1,WNT3A,WNT1,SHH,WNT10B,FOS,CASP3,WT1,SMAD4,CTNNB1,NF1,MTOR,TGFBR1,BMP2,RHOA,AKT1	3.89e-18	Process	Muscle structure development
GO:0006950	MAPK1,NFKB1,CCND1,GLI1,GAPDH,TWIST1,PXDN,KRAS,POU5F1,SMAD2,MAPK3,WNT5A,STAT3,TP53,ERBB2,NOTCH1,WNT3A,PPARG,WNT1,ANXA5,SHH,FOS,CASP3,HNF4A,FGF8,SOX2,GSK3B,SMAD3,SMAD4,PXDNL,ACTB,NF1,MTOR,JUN,PTEN,SRC,KLF4,TGFBR1,BMP2,BCL2,RHOA,PAX6,CDKN2A,HIF1A,AKT1,MYC,SHFM1	4.35e-18	Process	Response to stress
GO:0009952	BMP4,SMAD2,WNT5A,LEF1,TP53,NOTCH1,WNT3A,WNT1,SHH,FGF8,WT1,SMAD3,SMAD4,CTNNB1,DKK1,TGFBR1,BMP2,PAX6	6.83e-18	Process	Anterior/posterior pattern specification
GO:0030111	NFKB1,GLI1,SOX9,POU5F1,WNT5A,LEF1,CDH2,NOTCH1,WNT3A,SHH,WNT10B,SOX2,GSK3B,SMAD3,CTNNB1,SRC,DKK1,BMP2,SNAI2,ESR1,SHFM1	8.2e-18	Process	Regulation of Wnt signaling pathway
GO:0001501	FGF4,TWIST1,SNAI1,BMP4,SOX9,SMAD2,MAPK3,WNT5A,TP53,WNT1,SHH,WNT10B,FGF8,SMAD3,CTNNB1,RUNX2,SRC,TGFBR1,BMP2,SNAI2,FGFR1,RHOA,HIF1A	9.03e-18	Process	Skeletal system development
GO:0003156	BMP4,POU5F1,WNT5A,NOTCH1,WNT3A,SHH,FGF8,WT1,CTNNB1,DKK1,BMP2,FGFR1	9.09e-18	Process	Regulation of animal organ formation
GO:1901214	KRAS,WNT5A,STAT3,TP53,WNT3A,WNT1,FOS,CASP3,FGF8,GSK3B,CTNNB1,NF1,MTOR,NES,JUN,DKK1,BCL2,RHOA,HIF1A,AKT1	9.66e-18	Process	Regulation of neuron death
GO:0034097	FGF4,MAPK1,NFKB1,CCND1,GAPDH,NANOG,TWIST1,SOX9,KRAS,MAPK3,WNT5A,STAT3,LEF1,TP53,FOS,CASP3,SOX2,GSK3B,SMAD3,SMAD4,JUN,SRC,KLF4,BCL2,RHOA,PAX6,HIF1A,AKT1,MYC,SHFM1	1.03e-17	Process	Response to cytokine
GO:0010001	MAPK1,SOX9,KRAS,MAPK3,STAT3,LEF1,CDH2,ERBB2,NOTCH1,SHH,SOX2,CTNNB1,NF1,PTEN,RHOA,PAX6,AKT1	1.05e-17	Process	Glial cell differentiation
GO:0002520	MAPK1,BMP4,JAG1,MAPK3,WNT5A,STAT3,LEF1,TP53,WNT3A,PPARG,WNT1,SHH,WNT10B,CASP3,SMAD3,CTNNB1,MTOR,JUN,RUNX2,SRC,KLF4,TGFBR1,BCL2,RHOA,HIF1A	1.11e-17	Process	Immune system development
GO:0001822	BMP4,SOX9,JAG1,SMAD2,NOTCH1,WNT1,SHH,FGF8,WT1,SMAD3,SMAD4,CTNNB1,NF1,TGFBR1,BMP2,BCL2,FGFR1,PROM1,MYC	1.37e-17	Process	Kidney development
GO:0043065	GAPDH,BMP4,WNT5A,TP53,NOTCH1,WNT3A,PPARG,WNT10B,CASP3,GSK3B,WT1,SMAD3,CTNNB1,NF1,JUN,PTEN,SRC,TGFBR1,BMP2,CCK,BCL2,RHOA,CDKN2A,AKT1,MYC	1.46e-17	Process	Positive regulation of apoptotic process
GO:0003002	GLI1,SNAI1,BMP4,SMAD2,WNT5A,LEF1,TP53,NOTCH1,WNT3A,WNT1,SHH,FGF8,WT1,SMAD3,SMAD4,CTNNB1,DKK1,TGFBR1,BMP2,PAX6	2.21e-17	Process	Regionalization
GO:0030335	MAPK1,GLI1,SNAI1,BMP4,SOX9,MAPK3,WNT5A,STAT3,LEF1,IGF1R,NOTCH1,SMAD3,MTOR,JUN,SRC,TGFBR1,BMP2,SNAI2,BCL2,FGFR1,RHOA,HIF1A,AKT1	2.25e-17	Process	Positive regulation of cell migration
GO:0001657	BMP4,SOX9,SMAD2,WNT1,SHH,FGF8,WT1,SMAD3,SMAD4,CTNNB1,BMP2,BCL2,FGFR1,MYC	2.31e-17	Process	Ureteric bud development
GO:0043085	MAPK1,CCND1,BMP4,KRAS,MAPK3,WNT5A,STAT3,IGF1R,ERBB2,WNT3A,PPARG,CASP3,GSK3B,SMAD3,CTNNB1,NF1,MTOR,JUN,PTEN,SRC,DKK1,KLF4,TGFBR1,BMP2,CCK,BCL2,FGFR1,RHOA,ESR1,CDKN2A,HIF1A,AKT1,MYC	3.29e-17	Process	Positive regulation of catalytic activity
GO:0010629	NFKB1,CCND1,GAPDH,TWIST1,SNAI1,BMP4,SOX9,POU5F1,SMAD2,WNT5A,STAT3,LEF1,TP53,NOTCH1,PPARG,SHH,WNT10B,HNF4A,SOX2,WT1,SMAD3,SMAD4,CTNNB1,JUN,RUNX2,SRC,DKK1,KLF4,BMP2,SNAI2,FGFR1,PAX6,ESR1,CDKN2A,HIF1A,AKT1,MYC	3.65e-17	Process	Negative regulation of gene expression
